StudentID,Year,Bi Std,Bi Teacher,Bi ATL,Bi Compl. Of Work,Bi Sub Achievement,BM Std,BM Teacher,BM ATL,BM Compl. Of Work,BM Sub Achievement,Ch Std,Ch Teacher,Ch ATL,Ch Compl. Of Work,Ch Sub Achievement,CAb Std,CAb Teacher,CAb ATL,CAb Compl. Of Work,CAb Sub Achievement,CB Std,CB Teacher,CB ATL,CB Compl. Of Work,CB Sub Achievement,CLL Std,CLL Teacher,CLL ATL,CLL Compl. Of Work,CLL Sub Achievement,Ec Std,Ec Teacher,Ec ATL,Ec Compl. Of Work,Ec Sub Achievement,EB Std,EB Teacher,EB ATL,EB Compl. Of Work,EB Sub Achievement,EL Std,EL Teacher,EL ATL,EL Compl. Of Work,EL Sub Achievement,FB Std,FB Teacher,FB ATL,FB Compl. Of Work,FB Sub Achievement,Ge Std,Ge Teacher,Ge ATL,Ge Compl. Of Work,Ge Sub Achievement,Hi Std,Hi Teacher,Hi ATL,Hi Compl. Of Work,Hi Sub Achievement,JLi Std,JLi Teacher,JLi ATL,JLi Compl. Of Work,JLi Sub Achievement,Kli Std,Kli Teacher,Kli ATL,Kli Compl. Of Work,Kli Sub Achievement,MS Std,MS Teacher,MS ATL,MS Compl. Of Work,MS Sub Achievement,Ma Std,Ma Teacher,Ma ATL,Ma Compl. Of Work,Ma Sub Achievement,Predicted Grade,Actual Grade,Scaled Total,Mu Std,Mu Teacher,Mu ATL,Mu Compl. Of Work,Mu Sub Achievement,Ph Std,Ph Teacher,Ph ATL,Ph Compl. Of Work,Ph Sub Achievement,Ps Std,Ps Teacher,Ps ATL,Ps Compl. Of Work,Ps Sub Achievement,SAb Std,SAb Teacher,SAb ATL,SAb Compl. Of Work,SAb Sub Achievement,SB Std,SB Teacher,SB ATL,SB Compl. Of Work,SB Sub Achievement,SEHS Std,SEHS Teacher,SEHS ATL,SEHS Compl. Of Work,SEHS Sub Achievement,TB Std,TB Teacher,TB ATL,TB Compl. Of Work,TB Sub Achievement,Th Std,Th Teacher,Th ATL,Th Compl. Of Work,Th Sub Achievement,ToK Std,ToK Teacher,ToK ATL,ToK Compl. Of Work,ToK Sub Achievement,ToC Std,ToC Teacher,ToC ATL,ToC Compl. Of Work,ToC Sub Achievement,Var Std,Var Teacher,Var ATL,Var Compl. Of Work,Var Sub Achievement
1.55302E+11,2017,HL,IPa,7,7,6,SL,PNg,6,6,5,HL,JTe,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CBo,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,6,5,4,5,5,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,6,6,6,,,,,,,,,,
1.41229E+11,2017,HL,RGo,7,6,7,,,,,,HL,KKu,7,6,5,,,,,,,,,,,,,,,,SL,CTH,6,7,7,,,,,,SL,CBo,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,7,7,6,6,6,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,7,7,7,,,,,,,,,,
93101705547,2017,HL,SSh,6,6,6,,,,,,HL,JTe,6,6,6,,,,,,,,,,,,,,,,SL,AWo,6,5,5,,,,,,SL,CBo,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,JTo,5,5,5,5,7,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMo,5,7,5,,,,,,,,,,
1.43338E+11,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CTH,6,6,7,,,,,,SL,LLa,6,5,6,,,,,,HL,PBa,5,5,6,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,6,6,7,7,93,,,,,,HL,MSr,6,5,6,,,,,,SL,Cal,4,4,6,,,,,,,,,,,,,,,,,,,,,,RMo,6,7,6,,,,,,,,,,
1.00616E+11,2017,HL,IPa,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CTH,6,6,7,,,,,,SL,LLa,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CLe,7,7,5,6,6,85,,,,,,,,,,,HL,SDa,7,7,6,SL,Cal,6,6,6,,,,,,,,,,,,,,,,,,,,,,RMo,6,7,6,,,,,,,,,,
1.54354E+11,2017,,,,,,,,,,,SL,CSe,6,6,5,,,,,,,,,,,,,,,,SL,CTH,6,6,5,HL,TRo,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,OEj,7,6,6,,,,,,HL,GGo,6,5,6,7,7,82,,,,,,HL,MSr,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,5,,,,,,,,,,
1.0443E+11,2017,HL,RGo,6,5,5,,,,,,HL,JTe,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,MHo,6,6,6,,,,,,HL,PBa,5,5,5,,,,,,,,,,,,,,,,,,,,,SL,CLe,6,6,4,4,6,73,,,,,,,,,,,,,,,,SL,Cal,5,4,5,,,,,,,,,,,,,,,,,,,,,,RMo,6,7,5,,,,,,,,,,
1.64118E+11,2017,,,,,,,,,,,HL,CSe,5,5,4,,,,,,,,,,,,,,,,SL,AWo,6,5,5,,,,,,SL,MHo,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,6,4,4,4,4,46,,,,,,HL,MSr,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,6,,,,,,,,,,
1.14212E+11,2017,,,,,,HL,JMa,6,6,6,SL,CSe,7,7,7,,,,,,,,,,,SL,ZYY,6,6,6,,,,,,HL,CBo,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,7,7,7,7,7,85,,,,,,SL,HCC,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TTh,7,7,7,,,,,
1.13412E+11,2017,HL,IPa,7,7,6,HL,AHi,5,5,6,HL,JTe,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,HBa,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,5,5,4,5,5,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMo,6,7,5,,,,,,,,,,
