StudentID,Year,Bi Std,Bi Teacher,Bi ATL,Bi Compl. Of Work,Bi Sub Achievement,BM Std,BM Teacher,BM ATL,BM Compl. Of Work,BM Sub Achievement,Ch Std,Ch Teacher,Ch ATL,Ch Compl. Of Work,Ch Sub Achievement,Cab Std,Cab Teacher,Cab ATL,Cab Compl. Of Work,Cab Sub Achievement,CB Std,CB Teacher,CB ATL,CB Compl. Of Work,CB Sub Achievement,CL Std,CL Teacher,CL ATL,CL Compl. Of Work,CL Sub Achievement,Ec Std,Ec Teacher,Ec ATL,Ec Compl. Of Work,Ec Sub Achievement,EB Std,EB Teacher,EB ATL,EB Compl. Of Work,EB Sub Achievement,ELL Std,ELL Teacher,ELL ATL,ELL Compl. Of Work,ELL Sub Achievement,FB Std,FB Teacher,FB ATL,FB Compl. Of Work,FB Sub Achievement,Ge Std,Ge Teacher,Ge ATL,Ge Compl. Of Work,Ge Sub Achievement,Hi Std,Hi Teacher,Hi ATL,Hi Compl. Of Work,Hi Sub Achievement,Jli Std,Jli Teacher,Jli ATL,Jli Compl. Of Work,Jli Sub Achievement,KLi Std,KLi Teacher,KLi ATL,KLi Compl. Of Work,KLi Sub Achievement,MS Std,MS Teacher,MS ATL,MS Compl. Of Work,MS Sub Achievement,Ma Std,Ma Teacher,Ma ATL,Ma Compl. Of Work,Ma Sub Achievement,Predicted Grade,Actual Grade,Scaled Total,Mu Std,Mu Teacher,Mu ATL,Mu Compl. Of Work,Mu Sub Achievement,Ph Std,Ph Teacher,Ph ATL,Ph Compl. Of Work,Ph Sub Achievement,Ps Std,Ps Teacher,Ps ATL,Ps Compl. Of Work,Ps Sub Achievement,SAb Std,SAb Teacher,SAb ATL,SAb Compl. Of Work,SAb Sub Achievement,SB Std,SB Teacher,SB ATL,SB Compl. Of Work,SB Sub Achievement,SEHS Std,SEHS Teacher,SEHS ATL,SEHS Compl. Of Work,SEHS Sub Achievement,TB Std,TB Teacher,TB ATL,TB Compl. Of Work,TB Sub Achievement,Th Std,Th Teacher,Th ATL,Th Compl. Of Work,Th Sub Achievement,ToK Std,ToK Teacher,ToK ATL,ToK Compl. Of Work,ToK Sub Achievement,ToC Std,ToC Teacher,ToC ATL,ToC Compl. Of Work,ToC Sub Achievement,Var Std,Var Teacher,Var ATL,Var Compl. Of Work,Var Sub Achievement
1.15405E+11,2020,HL,SSh,6,7,5,HL,PNg,6,6,5,HL,GLi,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,MHo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,6,6,6,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGo,6,5,5,,,,,,,,,,
95441705547,2020,,,,,,,,,,,HL,HTo,6,7,6,,,,,,,,,,,,,,,,SL,NCh,7,7,6,,,,,,SL,EZa,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,6,6,6,6,6,69,,,,,,HL,TGe,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,7,7,7,,,,,,,,,,
1.14625E+11,2020,,,,,,HL,PNg,5,5,5,SL,HTo,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,SL,EMu,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,JTo,5,5,4,4,4,44,,,,,,HL,KKo,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,5,5,4,,,,,,,,,,
1.61642E+11,2020,,,,,,HL,PNg,7,7,5,HL,JTe,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,MHo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,LLP,7,7,6,6,6,76,,,,,,,,,,,HL,SDa,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,GGo,5,5,5,,,,,,,,,,
1.41654E+11,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CTH,5,5,5,,,,,,SL,EZa,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,5,5,4,5,5,57,,,,,,,,,,,HL,SDa,5,5,5,,,,,,,,,,,HL,MPa,5,5,5,,,,,,,,,,,,GGo,5,4,4,,,,,,,,,,
1.00125E+11,2020,SL,RGo,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RSi,6,5,5,,,,,,HL,MLi,5,5,6,SL,CRo,5,4,5,,,,,,HL,CTa,5,4,4,,,,,,,,,,,,,,,,SL,BGe,7,7,5,5,4,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEv,6,5,5,,,,,,,,,,
1.50551E+11,2020,,,,,,,,,,,SL,HTo,5,5,5,,,,,,,,,,,SL,CWe,7,7,6,HL,CTH,5,6,5,HL,CHe,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,7,7,6,6,5,67,,,,,,SL,MSr,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,7,7,6,,,,,,,,,,
1.21422E+11,2020,SL,RGo,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,HL,AWo,6,6,6,,,,,,HL,PTh,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,FYi,5,5,4,5,5,64,,,,,,,,,,,,,,,,SL,Cal,6,6,5,,,,,,,,,,,,,,,,HL,AGo,7,7,7,,CRo,6,6,6,,,,,,,,,,
92428759868,2020,,,,,,HL,PNg,5,5,4,HL,GLi,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,HL,PTh,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,FYi,5,5,5,6,6,73,,,,,,,,,,,SL,SDa,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,SSe,5,5,5,,,,,,,,,,
1.35011E+11,2020,,,,,,,,,,,HL,JTe,6,6,4,,,,,,,,,,,,,,,,SL,NCh,7,6,5,,,,,,SL,CCh,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,JTo,7,7,4,5,6,71,,,,,,HL,KKo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,6,6,6,,,,,,,,,,
